@lat	@lon	name	addr:street	addr:housenumber	addr:postcode	addr:city	cuisine	website
47.3682061	8.5456652	Weisse Rose	Torgasse	9				
47.3690028	8.5500485	Minine	Zeltweg	12			sushi	https://www.mininesushi.com/
47.3597536	8.5524861	NA081	Seefeldstrasse	96	8008	Zürich	italian	https://na081.ch/seefeld/
47.3673483	8.5675093	Sonnenberg	Hitzigweg	15			regional;italian	https://sonnenberg-zurich.ch/
47.3654698	8.5636573	Aroma	Asylstrasse	110			italian	http://www.ristorante-aroma.ch/
47.3632165	8.5599915	Zentrum Hegibach						
47.3623472	8.5587815	Lin Lin	Forchstrasse	76	8008	Zürich	chinese;thai	
47.3615601	8.5603652	ButchersTable	Neumünsterstrasse	34	8008	Zürich	bbq	https://www.williamsbutcherstable.ch/
47.3603204	8.5611887	Wynegg						
47.3596206	8.5585046	Neumünster	Hammerstrasse	10	8008	Zürich		http://www.restaurant-neumuenster.ch/
47.3519701	8.5580482	Strand-Restaurant Tiefenbrunnen						http://www.tiefenbrunnen.ch/
47.3703441	8.5522040	Wolfbach	Wolfbachstrasse	35	8032			
47.3697919	8.5529812	Afghan Anar	Hottingerstrasse	27	8032	Zürich	afghan;oriental	https://www.afghananar.ch/
47.3681833	8.5451811	Blockhus	Kruggasse	2	8001	Zürich	regional	https://restaurant-blockhus.ch/
47.3688249	8.5455086	Weisser Wind						https://weisserwind.ch/
47.3687595	8.5445743	Papa Joes Zürich					american	https://www.papajoes.ch/de/Restaurants/
47.3690472	8.5439586	Molino	Limmatquai	16	8001	Zürich	pizza	https://molino.ch/de/pizzeria-ristorante-molino-select
47.3700612	8.5416945	Zunfthaus zur Meisen	Münsterhof	20	8001	Zürich		http://www.zunfthaus-zur-meisen.ch/
47.3707349	8.5479863	Kunsthaus						
47.3701032	8.5401242	Orsini						
47.3700603	8.5398264	Santa Lucia	Waaggasse	5	8001	Zürich	pizza	https://www.bindella.ch/de/santa-lucia-paradeplatz.html
47.3702715	8.5401314	Heugümper	Waaggasse	4	8001	Zürich		https://www.restaurantheuguemper.ch/
47.3702401	8.5403116	Zunfthaus zur Waag	Münsterhof	8	8001	Zürich		https://zunfthaus-zur-waag.ch/
47.3700185	8.5403502	Münsterhöfli	Münsterhof	6	8001	Zürich		https://www.muensterhoefli.ch/
47.3693000	8.5405687	Puro						https://www.simplypuro.ch/
47.3689961	8.5402339	Milchbar	Kappelergasse	16	8001	Zürich		http://www.milchbar.ch/
47.3670788	8.5477023	Outback Lodge	Stadelhoferstrasse	18	8001	Zürich		https://www.outback-lodge.ch/stadelhofen
47.3661112	8.5486513	Weisses Kreuz	Falkenstrasse	27	8008	Zürich	regional	http://restaurant-weisseskreuz.ch/
47.3654324	8.5478765	Migros Restaurant	Falkenstrasse	19-21	8008	Zürich	international	https://filialen.migros.ch/de/migros-restaurant-zuerich-stadelhofen
47.3841997	8.5741522	Outpost						
47.3843967	8.5751844	Dieci Restaurant	Zürichbergstrasse	231	8044	Zürich	italian;pizza	https://www.dieci.ch/de/restaurant-zuerich-zoo
47.3490341	8.5631953	La Trattoria Blumenau	Seefeldstrasse	269	8008	Zürich	italian	http://trattoria-blumenau.ch/
47.3578267	8.5724184	Burgwies	Forchstrasse	271	8008	Zürich	regional	http://www.burgwies.ch/
47.3604653	8.5670716	Wilder Mann	Freiestrasse	221	8032	Zürich		https://www.wilder-mann.ch/
47.3608497	8.5665611	Antiquaria da marco						
47.3602234	8.5655522	Marcellino Pane e Vino					italian	
47.3643316	8.5545739	Royal Panda	Forchstrasse	2	8008	Zürich	asian	https://www.royal-panda.ch/
47.3731180	8.5417898	Restaurant Schipfe 16	Schipfe	16				https://www.stadt-zuerich.ch/sd/de/index/stadtleben/gastronomie/schipfe16/restaurant.html
47.3743748	8.5394674	Brasserie Lipp	Uraniastrasse	9	8001	Zürich	french	https://www.brasserie-lipp.ch/
47.3751744	8.5397124	Lotti	Werdmühleplatz	3	8001	Zürich		https://www.lotti-lokal.ch/
47.3643407	8.5470929	Silk						
47.3676208	8.5373768	Trinity						https://www.trinity-swiss.ch/
47.3650488	8.5486637	Chetis Curry					indian	
47.3761856	8.5413414	Dupont Brasserie & Bar	Beatenplatz	4	8001	Zürich	international	https://dupont.ch/
47.3761821	8.5402129	Sala of Tokyo					japanese	https://sala-of-tokyo.ch/
47.3722057	8.5437442	Santa Lucia	Marktgasse	21	8001	Zürich	pizza;italian	https://www.bindella.ch/de/santa-lucia-niederdorf.html
47.3766974	8.5388369	Walliser Kanne	Lintheschergasse	21	8001	Zürich	regional	https://www.walliserkanne-zuerich.ch/
47.3760414	8.5384703	SAMS Pizza Land	Schweizergasse	6	8001	Zürich	american	https://www.samspizza.ch/
47.3771005	8.5375221	Schützengasse	Schützengasse	32	8001	Zürich		https://www.schuetzengasse.com/
47.3743934	8.5355490	Astra					greek	https://astra-kitchenbar.ch/
47.4097743	8.5373570	Pathila Snacks	Regensbergstrasse	188	8050	Zürich		
47.3729055	8.5366859	Glogge-Egge	Sihlstrasse	31	8001	Zürich		https://www.glockenhof.ch/de/restaurants/restaurant_glogge_egge
47.3722044	8.5371777	James Joyce	Pelikanstrasse	8	8001	Zürich	international	http://www.jamesjoyce.ch/
47.3732035	8.5379816	Aurora						
47.3735998	8.5447955	Café Zähringer	Zähringerplatz	11	8001	Zürich	regional	https://www.zaehringer.ch/
47.3601980	8.5333948	Il Tartufo						
47.3600645	8.5340786	LAltro	Sternenstrasse	11	8002	Zürich	italian	https://www.l-altro.ch/
47.3597047	8.5318434	Sternen Da Guido	Seestrasse	82	8002	Zürich	italian;pizza	http://www.daguido.ch/
47.3635082	8.5323081	San Marco						
47.3635147	8.5339001	La Mimosa	General-Wille-Strasse	8	8002	Zürich	pizza	http://la-mimosa.ch/
47.3658410	8.5325611	Juan Costa «Old Inn»	Bleicherweg	47	8002	Zürich	spanish	http://www.juancosta.ch/
47.3643619	8.5321354	Fujiya of Japan						
47.3878614	8.5244404	Don Weber					mexican	https://donweber.ch/
47.3938063	8.5131772	Quartier 5 Restaurant & Bar	Hardturmstrasse	126	8005	Zürich		https://quartier5.ch/
47.3936029	8.5078042	Cucina	Hardturmstrasse	261	8005	Zürich	italian;pizza	https://www.cucinarestaurant.ch/
47.3726835	8.5282107	Bubbles	Strassburgstrasse	15	8004	Zürich	coffee_shop	
47.3851137	8.5362371	Primitivo	Wasserwerkstrasse					
47.3972186	8.5408921	Restaurant Kreuzstrasse / Pizzeria Incrocio	Schaffhauserstrasse	133	8057	Zürich	italian;pizza	https://pizzeria-incrocio.ch/
47.3878633	8.5186448	Les Halles	Pfingstweidstrasse	6	8005	Zürich	french	https://www.les-halles.ch
47.3900555	8.5179098	Toscano im Puls 5	Giessereistrasse	12	8005	Zürich	italian	https://ristorante-toscano.ch/puls5/
47.4143333	8.5403532	Fusio	Max-Bill-Platz	15	8050	Zürich	pizza;italian	https://fusio-zurich.ch/
47.3999623	8.5154056	Die Waid	Waidbadstrasse	45	8037	Zürich		http://diewaid.ch/
47.3772976	8.5269997	Sonne	Hohlstrasse	32				
47.4198706	8.5480159	Rebstock	Schaffhauserstrasse	469	8052	Zürich		http://www.rebstock-seebach.ch/
47.4202502	8.5484299	Dông Quê	Schaffhauserstrasse	475	8052	Zürich	vietnamese	http://www.dongque1668.ch/
47.4215396	8.5493818	Landhus						http://www.landhus-zuerich.ch/
47.4194842	8.5469086	Family Grill	Bahnhaldenstrasse	2a	8052	Zürich	bosnian	
47.4107063	8.5448251	Mamma Mia	Nansenstrasse	9	8050	Zürich	italian	http://mammamia.ch/
47.4100617	8.5464781	Metzgerhalle	Schaffhauserstrasse	354	8050	Zürich	regional	https://metzgerhalle-oerlikon.ch/
47.4098258	8.5464212	Rollis Steakhouse	Schaffhauserstrasse	352	8050	Zürich	steak_house	http://rollis-steakhouse.ch
47.4109387	8.5469906	Bellucci	Dörflistrasse	117	8050	Zürich	italian	https://bellucci.ch/
47.3756685	8.5243755	Kobal	Kanzleistrasse	78	8004	Zürich	indian	
47.3788109	8.4955083	Cube	Albisriederstrasse	245				http://www.cube-restaurant.ch/
47.3775520	8.4983437	Nikos	Albisriederstrasse	181	8047	Zürich	greek	https://www.nikos-taverne.ch/
47.3775516	8.5262968	Tenz Momo	Hohlstrasse	44	8004	Zürich	tibetan	https://www.tenz.ch
47.4148171	8.5408969	Jaime El Barco	Otto-Schütz-Weg	5	8050	Zürich		
47.4143135	8.5408549	Kitchen & Bar by Courtyard	Max-Bill-Platz	19	8050	Zürich		
47.4092055	8.5462331	Santa Lucia	Schaffhauserstrasse	345	8050	Zürich	pizza	https://www.bindella.ch/de/santa-lucia-oerlikon.html
47.4099302	8.5457062	Cheyenne	Querstrasse	3	8050	Zürich	american	https://www.cheyenne-oerlikon.ch
47.3792831	8.4948742	Il Salento					pizza	http://www.il-salento.ch/
47.3761736	8.5223010	La Baracca	Kanzleistrasse	103			italian	www.osteria-santobevitore.ch/#la-baracca-ristorante
47.3739825	8.5222246	Chichería Cantina	Köchlistrasse	35	8004	Zürich	peruvian	https://www.cantinazurich.ch/
47.3750390	8.5281814	Fribourger Stübli	Rotwandstrasse	38			regional;swiss	https://www.fribourger-fondue-stuebli.ch/
47.3825398	8.5296036	LILYS	Langstrasse	197	8005	Zürich	asian	https://lilys.ch/
47.3758295	8.5164278	FiveSpice	Sihlfeldstrasse	81	8004	Zürich	thai	https://www.fivespices.biz/
47.3648644	8.5323649	Nooch Asian Kitchen	Gotthardstrasse	62	8002	Zürich	asian;sushi	https://www.nooch.ch/nooch-zuerich-enge
47.3748589	8.5244037	Suan Long	Langstrasse	11	8004	Zürich	chinese;thai	https://suan-long.ch/suanlong/
47.3744220	8.5239732	Yuma	Badenerstrasse	120	8004	Zürich		https://www.yuma-zurich.ch/
47.3724091	8.5232069	Elisaburg	Elisabethenstrasse	3	8004	Zürich	regional	https://www.elisaburg.ch/
47.3738833	8.5264947	Le Cedre	Badenerstrasse	78	8004	Zürich	lebanese	https://libanesisch.ch/
47.3779936	8.4926226	Sarajevska Ćevabdžinica	Freilagerstrasse	1	8047	Zürich	balkan;pizza;croatian;serbian;bosnian	
47.3761196	8.5163348	Derby	Sihlfeldstrasse	85	8004	Zürich	pizza	https://restaurantderby.ch/
47.3764320	8.5162699	Rosi	Sihlfeldstrasse	89	8004	Zürich		https://www.rosi.restaurant/
47.3778609	8.5211491	EquiTable	Stauffacherstrasse	163	8004	Zürich		https://www.equi-table.ch
47.3750930	8.5178314	LArtista						https://lartista.ch/
47.3745008	8.5168115	Santo Ristorante	Sihlfeldstrasse	45	8003	Zürich	italian	http://www.santo-zurigo.ch/
47.3752506	8.5165887	Miki Ramen	Sihlfeldstrasse	63	8003	Zürich	japanese;ramen	http://www.miki-ramen.ch/
47.3730187	8.5289781	Masala	Stauffacherstrasse	27	8004	Zürich	indian	http://www.masala.ch
47.4202260	8.5085756	Migros Restaurant	Jonas-Furrer-Strasse	21	8046	Zürich	international	https://filialen.migros.ch/de/migros-restaurant-zuerich-affoltern
47.3702232	8.5318280	Antica Roma	Sihlamtsstrasse	5	8001	Zürich	italian	https://www.antica-roma.ch/
47.3743750	8.5177655	Da Pepino	Weststrasse	180	8003	Zürich	pizza	http://www.dapepino-ecke-express.ch/
47.3759081	8.5441559	Rheinfelder Bierhalle	Niederdorfstrasse	76	8001	Zürich		http://rheinfelder.ch/
47.3697813	8.5445846	Karl der Grosse	Kirchgasse	14	8001	Zürich	bistro	https://www.stadt-zuerich.ch/karldergrosse
47.3993584	8.4893633	Restaurant Werdinsel	Werdinsel	1a	8049	Zürich	regional	https://www.werdinsel.com/
47.3770714	8.5327288	Camino					italian	
47.3807554	8.5040594	Ooki Pavillon	Badenerstrasse	457	8003	Zürich	japanese	https://pavillon.ooki.tokyo/
47.3867368	8.5340332	Stazione Paradiso	Wasserwerkstrasse	89a	8037	Zürich		https://www.stazioneparadiso.ch/
47.4079092	8.5096499	SV Food Market Mensa						
47.3763026	8.5465369	SV Mensa Polyterrasse	Leonhardstrasse	34	8092	Zürich		https://www.ethz.ch/de/campus/erleben/gastronomie-und-einkaufen/gastronomie/restaurants-und-cafeterias/zentrum/mensa-polyterrasse.html
47.3772558	8.5470004	Clausiusbar					asian	https://clausiusbar.sv-restaurant.ch/
47.3783140	8.5488050	food&lab	Universitätstrasse	6	8092	Zürich	fusion	https://ethz.ch/de/campus/erleben/gastronomie-und-einkaufen/gastronomie/restaurants-und-cafeterias/zentrum/food-lab.html
47.3745749	8.5320124	Bernerhof	Zeughausstrasse	1				
47.3763729	8.5292946	Ristorante Italia	Zeughausstrasse	61	8004	Zürich	italian	http://www.ristorante-italia.ch/
47.3962653	8.5402882	Gonzalez	Schaffhauserstrasse	121	8057	Zürich	spanish	http://www.restaurant-gonzalez.ch/
47.3757513	8.5441431	Johanniter	Niederdorfstrasse	70	8001	Zürich		https://www.johanniter.com/
47.3758264	8.5438660	Bierhalle Wolf	Limmatquai	132	8001	Zürich		https://www.bierhalle-wolf.ch/
47.3714506	8.5401480	Taos						
47.3706516	8.5402164	Kropf						
47.3706846	8.5406432	Bindella	In Gassen	6	8001	Zürich	italian	https://www.bindella.ch/de/bindella-zuerich.html
47.3773665	8.5261690	Aargauerhof	Hohlstrasse	43			regional;swiss	http://restaurant-aargauerhof.ch/
47.3721828	8.5439082	Zunfthaus zur Schmiden	Marktgasse	20	8001	Zürich		
47.3724275	8.5455328	Kantorei	Neumarkt	2			italian	https://restaurantkantorei.ch
47.3731698	8.5448295	Isebähnli	Froschaugasse	26			regional	
47.3748641	8.5149777	Bei Babette	Bertastrasse	16	8003	Zürich	french;organic;regional	
47.3723327	8.5104366	Schiwago	Bertastrasse	76	8003	Zürich	swiss	http://www.levante.ch/
47.3704984	8.5099138	Treffpunkt					asian	
47.3769125	8.5258364	Gotthard	Langstrasse	63				
