@lat	@lon	name	addr:street	addr:housenumber	addr:postcode	addr:city	building	religion	denomination
47.4062220	8.5532412	Kapelle	Schwamendingenstrasse	69			chapel	christian	
47.3654850	8.5572073	St. Anton	Neptunstrasse	68	8032	Zürich	church	christian	roman_catholic
47.3693188	8.5196999	Bethaus Wiedikon					yes	christian	evangelical
47.3733944	8.5224596	Dreifaltigkeitskirche	Elisabethenstrasse	20b	8004	Zürich	yes	christian	orthodox
47.4084289	8.5420267	Evangelisch-Methodistische Kirche	Regensbergstrasse	148	8050	Zürich	church	christian	methodist
47.3734479	8.5351273	Synagoge ICZ Löwenstrasse	Löwenstrasse	10	8001	Zürich	yes	jewish	
47.3727574	8.5367990	St. Anna-Kapelle	St. Annagasse	11	8001	Zürich	church	christian	reformed
47.4061283	8.5462738	Kirche Oerlikon	Oerlikonerstrasse	99	8057	Zürich	church	christian	
47.4079407	8.5446014	Siebenten-Tags-Adventisten	Gubelstrasse	21	8050	Zürich	yes	christian	
47.3718080	8.5394106	Augustinerkirche	Münzplatz	2			church	christian	catholic
47.4047487	8.5557991	Diyanet Moschee Zürich Nord	Schwamendingenstrasse	102	8051	Zürich	yes	muslim	
47.4036588	8.5741416	Alte Kirche St. Niklaus	Stettbachstrasse	57	8051	Zürich	church	christian	evangelical
47.3697146	8.5412015	Fraumünster	Münsterhof	2	8001	Zürich	church	christian	protestant
47.3871702	8.5342571	Heiliger Dimitrios	Rousseaustrasse	17a	8037	Zürich	church	christian	greek_orthodox
47.3942004	8.5445023	Bruder Klaus	Milchbuckstrasse	75	8057	Zürich	church	christian	roman_catholic
47.4015568	8.5853120	Stefanskirche	Altwiesenstrasse	172	8051		church	christian	protestant
47.3547672	8.5612302	Erlöserkirche	Zollikerstrasse	158	8008	Zürich	church	christian	catholic
47.3854585	8.5412938	Evangelisch-Lutherische Kirche Zürich	Kurvenstrasse	39	8006	Zürich	church	christian	lutheran
47.3873786	8.5419463	Kirche Unterstrass	Turnerstrasse	47	8006	Zürich	yes	christian	protestant
47.3824848	8.5464814	Russisch-Orthodoxe Auferstehungskirche	Narzissenstrasse	10	8006	Zürich	yes	christian	orthodox
47.3839096	8.5468111	Kirche Oberstrass	Stapferstrasse	58	8006	Zürich	yes	christian	protestant
47.3444746	8.5295730	Evangelische-methodistische Kirche	Mutschellenstrasse	188			yes	christian	methodist
47.3432364	8.5328816	Alte Kirche Wollishofen	Kilchbergstrasse	13			church	christian	protestant
47.3696315	8.5431996	Wasserkirche	Limmatquai	31	8001	Zürich	church	christian	protestant
47.4257660	8.5099599	Freikirche der Siebenten-Tags-Adventisten Gemeinde Wolfswinkel	Wolfswinkel	36	8046	Zürich	yes	christian	seventh_day_adventist
47.3687733	8.5543420	Neuapostolische Kirche Zürich-Hottingen			8032	Zürich	church	christian	new_apostolic
47.3835268	8.5292726	Heilsarmee Open Heart	Luisenstrasse	23	8005	Zürich	apartments	christian	evangelical
47.3726057	8.5629084	Hare Krishna Tempel	Bergstrasse	54	8032	Zürich	yes	hindu	hare_krishna
47.3686602	8.5494712	Englische Kirche	Promenadengasse	9	8001		yes	christian	anglican
47.3551590	8.5749144	Mahmud Moschee	Forchstrasse	323	8008	Zürich	mosque	muslim	ahmadiyya
47.3549925	8.5738464	Reformierte Kirche Zürich-Balgrist	Lenggstrasse	75	8008	Zürich	church	christian	reformed
47.4072635	8.5652858		Herbstweg	120	8050		church	christian	
47.4102891	8.5640759	Reformiertes Kirchenzentrum Saatlen					church	christian	evangelical
47.3578934	8.5867086	Neue reformierte Kirche Witikon	Witikonerstrasse	292	8053	Zürich	church	christian	
47.3564399	8.5907929	Kirche Maria Krönung	Carl-Spitteler-Strasse	44a	8053	Zürich	church	christian	
47.3613644	8.5299766	Kirche Dreikönigen	Schulhausstrasse	20	8002	Zürich	church	christian	catholic
47.3575752	8.5946183	Alte reformierte Kirche Witikon	Berghaldenstrasse	51	8053	Zürich	church	christian	
47.3726813	8.5142379	Herz Jesu Wiedikon	Aemtlerstrasse	49	8003	Zürich	church	christian	catholic
47.3866785	8.4850491	Alte Kirche Altstetten	Pfarrhausstrasse	17	8048	Zürich	church	christian	
47.3703000	8.5448515	Grossmünsterkapelle					yes	christian	protestant
47.3866070	8.4845561	Kirche Altstetten	Pfarrhausstrasse	21	8048	Zürich	church	christian	methodist
47.3761623	8.4922707	Kirche Albisrieden	Ginsterstrasse	48			yes	christian	reformed
47.3705720	8.5060103	Thomaskirche im Gut	Burstwiesenstrasse	40	8055	Zürich	church	christian	protestant
47.3645044	8.5642717	Klus Park Kapelle					chapel	christian	
47.3610853	8.5046499	St. Theresia	Borrweg	78	8055	Zürich	church	christian	
47.4015476	8.4968873	Kirche Höngg	Am Wettingertobel	40		Zürich	yes	christian	protestant
47.4200653	8.5071192	Neuapostolische Kirche Zürich-Affoltern	In Böden	180			church	christian	new_apostolic
47.3329844	8.5176305	Kirche Maria-Hilf						christian	roman_catholic
47.3327044	8.5160480	Kirche Leimbach						christian	protestant
47.3656264	8.5530624	Kirche Christi Wissenschafter						christian	christ_scientist
47.4145791	8.5186354	Kirchliches Zentrum Neuaffoltern Glaubten	Riedenhaldenstrasse	1			church	christian	
47.3705538	8.5058071	Thomaskirche im Gut						christian	protestant
47.3607121	8.5059013	Friesenberg						christian	

